                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.6706,                 1.2415,                 1.4816,                0.79424,                0.71552,                0.77473,                0.40405,                 1.6512,                  1.324,                  1.656,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.6731,                 1.2733,                 1.5003,                0.80998,                   0.75,                0.81015,                0.39979,                 1.6263,                 1.2989,                 1.6525,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.6573,                 1.2283,                 1.5005,                0.81026,                0.69947,                0.79917,                0.40897,                  1.667,                 1.3434,                  1.668,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.6797,                 1.2544,                 1.5022,                0.80874,                 0.6926,                0.80192,                0.42459,                 1.6481,                 1.3369,                 1.6463,               0.008911,               0.008911,               0.008911
                    112,                 1.6851,                 1.2475,                 1.5058,                0.79258,                0.73707,                0.78223,                0.39422,                 1.6447,                 1.2959,                 1.6524,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.6877,                 1.2555,                 1.4745,                0.79435,                0.75431,                0.78762,                0.39905,                 1.6673,                 1.3447,                 1.6702,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.6845,                 1.2232,                 1.5042,                0.80239,                 0.7351,                0.80643,                0.41584,                 1.6876,                  1.287,                 1.6947,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.6558,                 1.2071,                 1.4781,                0.76464,                0.77018,                0.79743,                0.40104,                 1.7208,                  1.362,                 1.7156,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.6624,                 1.1909,                 1.4754,                0.79839,                 0.7169,                0.79084,                0.41799,                 1.6653,                  1.238,                 1.6731,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.6886,                 1.2513,                 1.4973,                0.84977,                0.71121,                0.81624,                0.43892,                 1.6386,                 1.2694,                 1.6502,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.6592,                 1.1998,                 1.4805,                0.81334,                0.75125,                0.80166,                0.42529,                 1.6753,                 1.2892,                 1.6939,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.6746,                 1.2374,                  1.499,                0.82943,                0.71263,                0.81889,                0.42548,                 1.6474,                 1.2406,                 1.6839,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.6447,                 1.2182,                 1.4791,                0.80964,                0.75166,                0.81056,                0.42567,                 1.6323,                  1.239,                 1.6556,              0.0088219,              0.0088219,              0.0088219
                    121,                   1.65,                 1.1907,                 1.4732,                0.87815,                   0.75,                0.82095,                0.41818,                 1.6848,                 1.2817,                 1.6986,               0.008812,               0.008812,               0.008812
                    122,                 1.6365,                 1.2046,                 1.4629,                0.83044,                0.76724,                 0.8107,                0.41983,                 1.6563,                 1.2467,                 1.6667,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.6481,                 1.2135,                 1.4693,                0.82161,                0.74138,                0.81184,                0.41294,                 1.6921,                 1.3083,                 1.7012,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.6321,                  1.202,                 1.4749,                0.80615,                0.75287,                0.81873,                0.43285,                 1.6013,                  1.202,                 1.6366,              0.0087823,              0.0087823,              0.0087823
                    125,                  1.635,                 1.1671,                 1.4684,                0.79436,                0.74927,                0.78396,                0.40669,                 1.6188,                  1.242,                 1.6388,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.6228,                 1.1796,                 1.4512,                0.78078,                0.73276,                0.78713,                0.40272,                 1.6624,                 1.2427,                 1.6986,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.6263,                 1.1743,                 1.4646,                0.82512,                0.73214,                0.80947,                0.42193,                 1.6642,                 1.2453,                 1.6938,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.6049,                 1.1606,                 1.4564,                0.81528,                0.78017,                0.82144,                 0.4268,                 1.6444,                 1.1975,                 1.6489,              0.0087427,              0.0087427,              0.0087427
                    129,                  1.614,                 1.1724,                  1.457,                0.85928,                0.77155,                0.82659,                0.43584,                 1.6105,                 1.2241,                 1.6433,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.6089,                 1.1574,                 1.4439,                0.84054,                0.77251,                0.84359,                0.43747,                 1.6159,                  1.178,                 1.6306,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.6321,                 1.1682,                 1.4684,                0.84799,                0.74138,                0.83776,                0.43793,                 1.6072,                 1.1968,                 1.6466,               0.008713,               0.008713,               0.008713
                    132,                 1.6063,                 1.1604,                 1.4461,                0.78648,                0.74569,                0.81224,                0.44117,                 1.6082,                 1.1827,                 1.6355,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.6133,                 1.1551,                 1.4559,                0.83975,                0.77155,                0.82247,                 0.4271,                 1.6363,                 1.1991,                 1.6638,              0.0086932,              0.0086932,              0.0086932
                    134,                 1.6545,                 1.1725,                 1.4713,                0.82995,                0.79741,                0.83752,                0.44379,                 1.6268,                 1.1865,                 1.6581,              0.0086833,              0.0086833,              0.0086833
                    135,                 1.6095,                 1.1638,                 1.4432,                 0.7776,                0.74569,                 0.8076,                0.43936,                 1.6276,                 1.2458,                 1.6759,              0.0086734,              0.0086734,              0.0086734
