                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.6766,                 1.3847,                 1.5389,                0.79906,                0.70276,                0.79726,                0.40279,                  1.562,                 1.3125,                 1.6657,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.6187,                 1.2683,                 1.5094,                0.84144,                 0.7069,                0.81716,                0.43664,                 1.5919,                 1.2389,                 1.6886,              0.0092872,              0.0092872,              0.0092872
                     74,                  1.643,                 1.3937,                 1.5018,                0.82525,                0.68534,                0.77284,                0.39684,                 1.5591,                 1.2951,                 1.6888,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.6233,                 1.3608,                 1.4952,                0.74991,                0.71983,                0.78356,                0.40754,                 1.5802,                 1.2705,                 1.7009,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.6098,                 1.3045,                 1.4714,                0.71974,                0.68103,                0.76801,                0.41307,                 1.5471,                 1.2998,                 1.6882,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.6395,                 1.3483,                 1.4957,                0.77453,                0.74035,                0.78462,                  0.426,                 1.5251,                 1.2637,                 1.6504,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.6486,                 1.3363,                 1.5099,                0.79959,                0.71983,                  0.804,                0.42476,                 1.5496,                 1.2367,                 1.6832,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.6067,                 1.2911,                 1.4966,                0.76365,                0.68534,                0.76242,                0.41136,                 1.5236,                  1.261,                 1.6747,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.5755,                 1.2794,                 1.4753,                0.84135,                0.66291,                 0.7946,                0.41954,                 1.5383,                 1.2617,                 1.6713,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.6216,                 1.2782,                 1.5107,                0.74286,                0.74714,                0.77941,                0.42779,                  1.563,                 1.2494,                 1.6702,               0.009208,               0.009208,               0.009208
                     82,                 1.6201,                 1.2916,                 1.4946,                0.81349,                0.73276,                0.83412,                0.44491,                  1.521,                 1.1876,                 1.6576,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.6137,                 1.2746,                 1.4825,                0.76924,                0.73707,                 0.7851,                0.41814,                 1.5588,                 1.2853,                 1.6773,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.5801,                 1.2225,                 1.4569,                0.86542,                0.65948,                0.81103,                0.41018,                 1.5481,                    1.2,                 1.6736,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.5851,                 1.2746,                 1.4868,                0.76917,                0.77586,                0.82794,                0.43869,                 1.5553,                  1.234,                 1.6579,              0.0091684,              0.0091684,              0.0091684
